Generation,City Order,Distance,Fitness
80,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6)],412.157896,0.002426255
81,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6)],412.157896,0.002426255
82,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6)],412.157896,0.002426255
83,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6)],412.157896,0.002426255
84,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6)],412.157896,0.002426255
85,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6)],412.157896,0.002426255
86,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6)],412.157896,0.002426255
87,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6)],412.157896,0.002426255
88,[City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13), City(1), City(20), City(6)],412.157896,0.002426255
89,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
90,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
91,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
92,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
93,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
94,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
95,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
96,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
97,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
98,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
99,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
100,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
101,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
102,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
103,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
104,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
105,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
106,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
107,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
108,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
109,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
110,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
111,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
112,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
113,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
114,[City(1), City(20), City(6), City(3), City(19), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(22), City(10), City(13)],412.157896,0.002426255
115,[City(1), City(20), City(6), City(19), City(3), City(15), City(25), City(9), City(23), City(5), City(16), City(11), City(21), City(2), City(17), City(14), City(7), City(8), City(24), City(12), City(4), City(18), City(0), City(10), City(22), City(13)],407.863467,0.002451801
